Availability Status,Count,Percentage
(+50 disponibles),3136,53.52449223416965
(+20 disponibles),802,13.688342720600785
(+10 disponibles),783,13.36405529953917
(+5 disponibles),430,7.339136371394436
Available,232,3.959720088752347
(3 disponibles),130,2.2188086704215735
(2 disponibles),125,2.133469875405359
(4 disponibles),119,2.031063321385902
(5 disponibles),102,1.7409114183307732
