Number of Products,Number of Sellers
1,1600
2,442
3,174
4,103
5,62
6,38
7,36
8,16
9,13
10,14
11,8
12,9
13,4
14,10
15,6
16,4
17,3
18,1
19,6
21,2
22,3
24,2
25,2
33,2
36,1
44,1
52,1
63,1
73,1
